Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
10,19,Ne,,,0, ,(3/2+), ,15,3,ms,0.015,0.003,B-,100, ,B-N,28,5,B-2N,4,1, , , , , ,15719.807,149685,11316.80,150,-11354.14,223,-21750.385,546,971.25,196,22630.77,421,7167.067,5155,29019753,160500,18399.801,149505,
10,21,Ne,,,0, ,(3/2-), ,3.4,8,ms,0.0034,0.0008,B-,100, ,B-N, , ,B-2N, , , , , , , ,18935.559,266562,14635.60,266,-15913,567,-24961.409,607,169.84,127,24219,653,6813.09,8587,31033474.816,285772,31181.591,266195,
10,23,Ne,,,0, , ,LT,180, ,ns,0.00000018, ,N, , , , , , , , , , , , , ,22217,747,19286,597,,,,,-927,780,,,6440,18,33049380,640,45997,596,
11,8,Na,,,0, ,(5/2+),LT,40, ,keV,1.14059428767846e-20, ,P,100, , , , , , , , , , , , ,-18898.998,51099,,,-6062.28,18,11177.34,11,20179.91,94,-322.81,11,6937.885,554,19013880.272,11309,12929.390,10535,
11,10,Na,3.0136,284,0, ,3/2+, ,22.49,4,s,22.49,0.04,EC+B+,100, , , , , , , , ,2.3863, ,0.124, ,-13088.48,761,-27733.64,187,-6561.25,27,3547.145,105,17106.55,112,2431.67,10,7765.547,5,20997654.702,105,-2184.631,98,
11,12,Na,2.9936,21,0, ,3/2+, ,STABLE, , , , , , , , , , , , , , ,2.21752, ,0.1006, ,-4056.34,158,-17201.24,31,-10467.32,0,-4375.803,104,12419.66,17,8794.10,2,8111.493,0,22989769.28199,194,-9529.85248,181,
11,14,Na,2.9769,252,0, ,5/2+, ,59.1,6,s,59.1,0.6,B-,100, , , , , , , , ,3.683, ,-0.1, ,3834.969,1201,-3495.56,120,-11735.12,216,-7322.311,29,9011.23,120,10695.14,130,8101.397,48,24989953.973,1288,-9357.813,1200,
11,16,Na,3.0136,467,0, ,5/2+, ,301,6,ms,0.301,0.006,B-,100, ,B-N,0.13,0.04, , , , ,3.895, ,-0.007, ,9068.821,3727,2625.44,4,-11227.97,34,-12568.699,91,6728.33,5,13287.87,19,7956.946,138,26994076.408,4000,-5517.790,3726,
11,18,Na,3.0922,723,0, ,3/2+, ,44.1,9,ms,0.0441,0.0009,B-,100, ,B-N,21.5,3, , , , ,2.449, ,0.086, ,13282.824,13557,9627.52,8,-11079.09,97,-15719.807,150,4403.01,13,15908.71,126,7682.151,253,29002877.092,7876,2679.994,7337,
11,20,Na,3.1704,893,0, ,3/2(+), ,17.35,40,ms,0.0173,0.0004,B-,100, ,B-N,37.3,5.4,B-2N,0.87,0.24, ,2.298, , , ,15368.182,14307,13058.53,14,-15629.16,390,-18935.56,267,4299.96,15,18323.06,254,7398.677,451,31013146.656,15000,12246.031,13972,
11,22,Na,,,0, ,(3/2+), ,8.0,4,ms,0.008,0.0004,B-,100, ,B-N,47,6,B-2N,13,3, , , , , ,18817.813,449921,16537.69,450,-18794.99,692,-22216.89,747,2931.36,451,20508,675,7089.926,13634,33025529,483000,23780.110,449912,
11,24,Na,,,0, ,(3/2+), ,1.8,5,ms,0.0018,0.0005,B-,100, ,B-N,0, ,B-5N, , , , , , , ,22592,723,21837,671,-20336,865,,,1520,300,21899,844,6733,19,35041043,720,38231,670,
11,26,Na,,,0, , ,GT,60, ,ns,0.00000006, ,B-, , ,B-N, , , , , , , , , , ,25323,980,25083,974,,,,,840,180,,,6392,19,37057471,737,53534,687,
