,0.15934,10.794,1.628,1.346E-02,2.303E-13,2.160E-02,5.091E-05,1.513E-02,1.771E-04,1.269E-04,2.754E-03,1.582E-02,2.793E-02
,0.16437,10.610,1.609,1.498E-02,1.838E-13,2.163E-02,3.375E-05,1.789E-02,1.083E-04,8.916E-05,2.362E-03,1.526E-02,2.926E-02
,0.16992,10.410,1.588,1.693E-02,1.430E-13,2.169E-02,2.142E-05,1.855E-02,6.019E-05,6.036E-05,1.997E-03,1.467E-02,3.085E-02
,0.17615,10.189,1.564,1.953E-02,1.078E-13,2.178E-02,1.284E-05,1.697E-02,3.060E-05,3.889E-05,1.658E-03,1.404E-02,3.278E-02
,0.18333,9.941,1.536,2.138E-02,7.774E-14,2.025E-02,6.579E-06,1.265E-02,1.366E-05,2.164E-05,1.241E-03,1.233E-02,3.254E-02
,0.19068,9.694,1.507,2.163E-02,5.558E-14,1.726E-02,3.041E-06,7.949E-03,6.068E-06,1.087E-05,8.487E-04,9.904E-03,2.968E-02
,0.19793,9.457,1.477,2.140E-02,3.992E-14,1.436E-02,1.384E-06,4.679E-03,2.905E-06,5.364E-06,5.698E-04,7.763E-03,2.641E-02
,0.20507,9.230,1.447,2.112E-02,2.881E-14,1.191E-02,6.328E-07,2.687E-03,1.465E-06,2.654E-06,3.833E-04,6.062E-03,2.342E-02
,0.21212,9.012,1.417,2.080E-02,2.089E-14,9.849E-03,2.909E-07,1.523E-03,7.571E-07,1.317E-06,2.583E-04,4.719E-03,2.070E-02
,0.21910,8.803,1.387,2.045E-02,1.521E-14,8.126E-03,1.344E-07,8.569E-04,3.958E-07,6.554E-07,1.745E-04,3.663E-03,1.826E-02
,0.22600,8.602,1.357,2.007E-02,1.113E-14,6.690E-03,6.243E-08,4.811E-04,2.082E-07,3.272E-07,1.182E-04,2.837E-03,1.607E-02
,0.23283,8.409,1.327,1.967E-02,8.182E-15,5.498E-03,2.917E-08,2.698E-04,1.099E-07,1.638E-07,8.024E-05,2.192E-03,1.413E-02
,0.23961,8.224,1.297,1.925E-02,6.038E-15,4.511E-03,1.370E-08,1.514E-04,5.826E-08,8.225E-08,5.460E-05,1.691E-03,1.241E-02
,0.24634,8.045,1.266,1.882E-02,4.481E-15,3.697E-03,6.474E-09,8.504E-05,3.093E-08,4.141E-08,3.730E-05,1.301E-03,1.091E-02
,0.25302,7.873,1.235,1.837E-02,3.343E-15,3.025E-03,3.078E-09,4.782E-05,1.647E-08,2.091E-08,2.557E-05,1.000E-03,9.593E-03
,0.25967,7.707,1.205,1.792E-02,2.495E-15,2.473E-03,1.465E-09,2.694E-05,8.785E-09,1.058E-08,1.751E-05,7.678E-04,8.410E-03
